,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,80,NZ,1540697921,96,-46.19,168.86,52.97,4.16
1,Tres Arroyos,24,AR,1540697368,73,-38.38,-60.28,60.35,11.77
2,Khilok,20,RU,1540697430,83,51.36,110.46,35.69,3.27
3,Norwich,68,GB,1540695360,93,52.63,1.29,42.8,16.11
4,Chokurdakh,76,RU,1540697431,79,70.62,147.9,12.78,10.76
5,Rikitea,56,PF,1540697922,100,-23.12,-134.97,73.22,13.22
6,Kodiak,1,US,1540695180,87,39.95,-94.76,53.6,3.36
7,Nanortalik,88,GL,1540697432,94,60.14,-45.24,34.92,14.0
8,Cape Town,0,ZA,1540695600,93,-33.93,18.42,59.0,1.12
9,Acapulco,40,MX,1540694760,83,16.86,-99.88,82.4,3.36
10,Mangan,0,IN,1540697432,40,27.5,88.54,36.86,1.36
11,Albany,90,US,1540695240,81,42.65,-73.75,42.8,11.41
12,Hilo,75,US,1540695360,78,19.71,-155.08,78.8,3.36
13,Tiznit,56,MA,1540697433,100,29.7,-9.73,63.05,8.41
14,Barrow,24,AR,1540697433,73,-38.31,-60.23,60.35,11.77
15,Airai,0,TL,1540697433,36,-8.93,125.41,88.61,2.15
16,Tiksi,56,RU,1540697433,77,71.64,128.87,17.6,17.92
17,Vanimo,48,PG,1540697434,100,-2.67,141.3,79.92,8.19
18,Hasaki,75,JP,1540693800,68,35.73,140.83,66.2,12.75
19,South Sioux City,90,US,1540696500,87,42.47,-96.41,53.6,6.93
20,Bubaque,0,GW,1540697434,100,11.28,-15.83,82.62,4.38
21,Riyadh,75,SA,1540695600,93,24.63,46.72,66.2,5.82
22,Jamestown,92,AU,1540697435,100,-33.21,138.6,57.83,4.27
23,Busselton,32,AU,1540696611,90,-33.64,115.35,66.38,5.17
24,Vanavara,0,RU,1540697426,87,60.35,102.28,33.03,7.4
25,Georgetown,0,GY,1540695600,94,6.8,-58.16,77.0,2.24
26,Pimentel,8,BR,1540697436,63,-3.7,-45.5,81.32,6.96
27,Amga,48,RU,1540697436,61,60.89,131.98,18.14,6.29
28,Carnarvon,0,ZA,1540697436,26,-30.97,22.13,54.32,1.48
29,Araioses,0,BR,1540697436,80,-2.89,-41.91,79.2,15.12
30,Dudinka,88,RU,1540697437,91,69.41,86.18,28.98,25.41
31,Hermanus,0,ZA,1540697437,87,-34.42,19.24,59.09,2.82
32,Cayenne,90,GF,1540695600,94,4.94,-52.33,78.8,2.24
33,Bushehr,40,IR,1540695600,83,28.97,50.84,75.2,11.41
34,Russell,75,AR,1540695600,93,-33.01,-68.8,60.8,2.24
35,Leningradskiy,0,RU,1540697438,100,69.38,178.42,13.77,4.72
36,Vaini,0,IN,1540697438,38,15.34,74.49,76.95,5.28
37,Tasiilaq,76,GL,1540695000,86,65.61,-37.64,30.2,17.22
38,Saint George,0,GR,1540695000,93,39.45,22.34,53.6,2.59
39,Yenagoa,48,NG,1540697439,98,4.92,6.26,73.85,3.49
40,Bethel,1,US,1540695180,68,60.79,-161.76,30.2,14.99
41,Cetraro,90,IT,1540695300,93,39.52,15.94,50.0,17.22
42,San Rafael,92,AR,1540697440,99,-34.61,-68.33,54.68,2.59
43,Ushuaia,40,AR,1540692000,52,-54.81,-68.31,46.4,16.11
44,Lesozavodsk,76,RU,1540697441,92,45.47,133.42,40.37,12.44
45,Kapaa,40,US,1540695360,69,22.08,-159.32,84.2,13.87
46,Dwarka,0,IN,1540695600,77,28.58,77.04,68.0,3.36
47,Kavieng,44,PG,1540697461,100,-2.57,150.8,83.88,5.39
48,Ecoporanga,56,BR,1540697477,98,-18.37,-40.83,69.12,4.94
49,Wegorzewo,56,PL,1540697502,97,54.22,21.74,40.1,10.65
50,Ostrovnoy,56,RU,1540697502,81,68.05,39.51,24.71,12.44
51,Cockeysville,90,US,1540696260,100,39.48,-76.65,50.0,4.7
52,Punta Arenas,75,CL,1540695600,53,-53.16,-70.91,50.0,24.16
53,Kalevala,0,FI,1540697378,100,64.12,29.58,27.0,8.75
54,Port Alfred,36,ZA,1540696637,97,-33.59,26.89,67.1,14.0
55,Vardo,90,US,1540695600,87,39.62,-77.74,48.2,3.36
56,Geraldton,90,CA,1540695600,80,49.72,-86.95,35.6,4.7
57,Tongren,44,CN,1540697503,66,27.72,109.18,62.96,2.82
58,Bluff,0,AU,1540697504,27,-23.58,149.07,101.07,4.72
59,Aklavik,90,CA,1540695600,92,68.22,-135.01,23.0,4.7
60,Nikolskoye,75,RU,1540695600,86,59.7,30.79,33.8,13.42
61,Masaka,32,UG,1540697504,100,-0.34,31.75,65.75,3.49
62,Kiunga,88,PG,1540697505,69,-6.12,141.3,86.18,3.04
63,Boyolangu,20,ID,1540697505,60,-8.09,111.9,84.65,8.3
64,Butaritari,12,KI,1540696637,100,3.07,172.79,85.77,11.77
65,Sur,44,OM,1540697505,100,22.57,59.53,77.58,0.58
66,Nong Chik,75,TH,1540695600,66,6.84,101.18,86.0,6.93
67,College,90,US,1540695480,93,64.86,-147.8,32.0,4.7
68,Poroshkovo,75,UA,1540695600,93,48.67,22.75,50.0,4.38
69,Panaba,0,MX,1540697506,78,21.28,-88.27,77.22,7.85
70,Menongue,68,AO,1540697506,33,-14.66,17.68,67.64,4.61
71,Doraha,0,IN,1540697506,79,30.8,76.04,71.37,2.93
72,Sovetskiy,44,RU,1540697507,94,56.76,48.47,29.3,7.74
73,Hami,0,CN,1540697507,42,42.84,93.51,48.74,9.31
74,Komsomolskiy,68,RU,1540697507,84,67.55,63.78,22.5,6.06
75,Namibe,20,AO,1540697507,86,-15.19,12.15,77.72,10.65
76,Kaitangata,92,NZ,1540697508,100,-46.28,169.85,48.65,7.96
77,Bathsheba,20,BB,1540695600,94,13.22,-59.52,73.4,5.82
78,Puerto Ayora,12,EC,1540696601,100,-0.74,-90.35,70.52,8.52
79,Kenai,20,US,1540695360,81,60.55,-151.26,42.8,5.82
80,Pangnirtung,88,CA,1540697508,98,66.15,-65.72,23.13,6.17
81,Clyde River,1,CA,1540695600,84,70.47,-68.59,-0.41,18.34
82,Tuktoyaktuk,90,CA,1540695600,100,69.44,-133.03,23.0,13.87
83,Luancheng,0,CN,1540692000,20,37.88,114.65,66.2,4.47
